,,,,,,,
,,,,,,,
,Categoría,Descripción,Proveedor,Enlace,Precio,Unidades,Precio/Ud
,Modulos Electronica,Convertidor Buck XL4015 5A Pantalla,BricoGeek,https://tienda.bricogeek.com/convertidores-de-voltaje/1399-conversor-dc-dc-ajustable-5a-75w-xl4015.html?_gl=1*1fo7sq6*_up*MQ..*_gs*MQ..&gclid=Cj0KCQiA9t3KBhCQARIsAJOcR7xhiyXYoXE8V31BC3M8D1aTTHFBD6rPG9xVc38BCCr9MQDte2zQAloaAtrAEALw_wcB&gbraid=0AAAAADkb14c91AvrnRQ0AXZpneJ_E3PMr,"5,45 €",1,"5,45 €"
,Modulos Electronica,Pololu CC Simple TB9051FTG,RobotShop,https://eu.robotshop.com/es/products/portador-de-controlador-de-motor-de-cc-simple-con-escobillas-de-26a-pololu-tb9051ftg?qd=bb892639f00effa0e49a85ac1a7ed5ce,"14,24 €",1,"14,24 €"
,Modulos Electronica,Drivers DRV8871,AliExpress,https://es.aliexpress.com/item/1005009890289198.html?spm=a2g0o.productlist.main.1.2e8a2bf8VQ3xbp&algo_pvid=9d27eb91-ad89-44ad-bcd4-ba8bf0d98ec1&algo_exp_id=9d27eb91-ad89-44ad-bcd4-ba8bf0d98ec1-0&pdp_ext_f=%7B%22order%22%3A%22885%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%216.02%212.55%21%21%2147.21%2120.00%21%402101c44517729020397748370e06b3%2112000050491665091%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000201414769&curPageLogUid=PiwSs4tcZQ1W&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009890289198%7C_p_origin_prod%3A,"2,55 €",2,"1,28 €"
,Modulos Electronica,Ventilador Raspberry,BricoGeek,https://tienda.bricogeek.com/accesorios-raspberry-pi/1884-disipador-con-ventilador-activo-oficial-raspberry-pi-5.html,"7,20 €",1,"7,20 €"
,Modulos Electronica,Ventilador Raspberry,AliExpress,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.19815gXp5gXpX0&productIds=1005006738849604:12000038140377920&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006738849604%7C_p_origin_prod%3A&pvid=790de8a5-d88f-4af5-98c7-8ca4caffcd0c,"3,99 €",1,"3,99 €"
,Actuadores,Servo Metal MG996R 190,AliExpress,https://es.aliexpress.com/item/1005007453439275.html?spm=a2g0o.productlist.main.4.da0253a0Pz1uNQ&algo_pvid=d5ca3fc8-1bdd-4f01-9f7b-b8cd65956b6c&algo_exp_id=d5ca3fc8-1bdd-4f01-9f7b-b8cd65956b6c-3&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2114.08%210.99%21%21%21113.46%218.01%21%40210385a817668517234842169e90ab%2112000040821594580%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&curPageLogUid=Ye4Ib77nsycN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007453439275%7C_p_origin_prod%3A,"2,99 €",1,"2,99 €"
,Actuadores,Smart Car Kit CC de JGA25-370 12V,AliExpress,"https://es.aliexpress.com/item/1005001279982165.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.e28dYrraYrrarX&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=c7dcc4cb-2327-45c3-abac-e480a61931bd&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:c7dcc4cb-2327-45c3-abac-e480a61931bd,tpp_buckets:668%232846%238109%231935&pdp_ext_f=%7B%22order%22%3A%22241%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%2110.41%215.91%21%21%2111.98%216.80%21%40211b619a17668529693584942e8dec%2112000043931619198%21rec%21ES%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636333&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005001279982165%7C_p_origin_prod%3A#nav-specification","9,79 €",1,"9,79 €"
,Actuadores,Altavoz 8 ohm 2W,AliExpress,https://es.aliexpress.com/item/1005008626624201.html?spm=a2g0o.cart.0.0.23ee7a9dTql3Uq&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.49%21EUR%201.37%21%21EUR%201.24%21%21%21%40210385a817673732693488585e2c52%2112000049446471557%21ct%21ES%21727181518%21%211%210%21&gatewayAdapt=glo2esp,"1,37 €",1,"1,37 €"
,Baterías,Lipo 3s 3000mah xt60,AliExpress,https://es.aliexpress.com/item/1005008034158774.html?spm=a2g0o.productlist.main.1.7c95526eXM0Uie&algo_pvid=c8c1c8de-f527-4b44-b3ab-b5130adffb2c&algo_exp_id=c8c1c8de-f527-4b44-b3ab-b5130adffb2c-0&pdp_ext_f=%7B%22order%22%3A%22879%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2135.15%218.45%21%21%21283.26%2168.11%21%40211b431017668521050978210e53b6%2112000043344437981%21sea%21ES%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000187636332&curPageLogUid=MeYqa64lLFOy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008034158774%7C_p_origin_prod%3A,"23,74 €",1,"23,74 €"
,Baterías,"TERANTY 3S 11,1 V 2700mAh 45C-XT60",AliExpress,https://es.aliexpress.com/item/1005010519773316.html?spm=a2g0o.productlist.main.7.2b3156e3EmuxJb&algo_pvid=93b0bff0-8997-427a-8e49-1fd06ae1774b&algo_exp_id=93b0bff0-8997-427a-8e49-1fd06ae1774b-6&pdp_ext_f=%7B%22order%22%3A%2229%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2118.41%2111.11%21%21%21148.31%2189.46%21%402103864c17668881866958650e7a7d%2112000052677243428%21sea%21ES%21727181518%21X%211%210%21n_tag%3A-29919%3Bd%3A9f310ff5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197090676&curPageLogUid=ozxyvNmfReu7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010519773316%7C_p_origin_prod%3A,"13,65 €",1,"13,65 €"
